   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly |       t_libr |       t_frac |       t_poly
 5703 |     -0.775749641486503 |     -0.980886777412728 |     -0.980886777411728 |     -0.980169069749742 |   1.00e-12 |   7.18e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5704 |     -1.431391493795350 |     -7.126823854863251 |     -7.126823854862243 |     -7.126823855038592 |   1.01e-12 |   1.75e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5705 |     -0.375207054208256 |     -0.393865730997486 |     -0.393865730996486 |     -0.393865535973806 |   1.00e-12 |   1.95e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5706 |     -1.484472509096995 |    -11.555499489087154 |    -11.555499489086099 |    -11.555499489089517 |   1.06e-12 |   2.36e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5707 |      1.082003977026849 |      1.880272115372776 |      1.880272115373776 |      1.880285317243661 |   9.99e-13 |   1.32e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5708 |     -0.357101856297301 |     -0.373097697766510 |     -0.373097697765510 |     -0.373097585214897 |   1.00e-12 |   1.13e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5709 |      0.171312058470949 |      0.173007846898921 |      0.173007846899921 |      0.173007846865466 |   1.00e-12 |   3.35e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5710 |      0.977928481469467 |      1.484302399298776 |      1.484302399299777 |      1.484374832524358 |   1.00e-12 |   7.24e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5711 |     -0.497383502949598 |     -0.542909950191294 |     -0.542909950190294 |     -0.542905409917576 |   1.00e-12 |   4.54e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5712 |     -0.891097022027477 |     -1.237372358029837 |     -1.237372358028837 |     -1.237611248309680 |   1.00e-12 |   2.39e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5713 |     -0.900771713306131 |     -1.262157355128941 |     -1.262157355127942 |     -1.262368270345607 |   1.00e-12 |   2.11e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5714 |     -1.097752734052310 |     -1.953885309967764 |     -1.953885309966763 |     -1.953895186255006 |   1.00e-12 |   9.88e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5715 |      1.348216244422608 |      4.418325414978406 |      4.418325414979405 |      4.418325426707534 |   9.99e-13 |   1.17e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5716 |     -0.864119998111600 |     -1.171281203414431 |     -1.171281203413428 |     -1.171615919889902 |   1.00e-12 |   3.35e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5717 |      0.808978466376070 |      1.048308693626779 |      1.048308693627777 |      1.048947924529781 |   9.98e-13 |   6.39e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5718 |     -0.648558470825726 |     -0.757932283124198 |     -0.757932283123198 |     -0.757841039456818 |   1.00e-12 |   9.12e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5719 |     -0.321706435664336 |     -0.333284313240529 |     -0.333284313239529 |     -0.333284277901140 |   1.00e-12 |   3.53e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5720 |     -0.010752609745470 |     -0.010753024165257 |     -0.010753024164257 |     -0.010753024165257 |   1.00e-12 |   0.00e+00 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5721 |      0.577182109684552 |      0.651148402296184 |      0.651148402297184 |      0.651124134758973 |   1.00e-12 |   2.43e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
